03-08-2026,06:45:25 PM,"No Helmet, No Safety Vest"
07-08-2026,07:11:24 PM,No Safety Vest
07-08-2026,07:21:35 PM,No Helmet
11-08-2026,06:39:50 PM,"No Helmet, No Safety Vest"
11-08-2026,06:40:00 PM,"No Helmet, No Safety Vest"
09-09-2026,08:30:22 PM,No Helmet
09-09-2026,08:30:32 PM,"No Helmet, No Safety Vest"
09-09-2026,08:30:42 PM,"No Helmet, No Safety Vest"
09-09-2026,08:30:53 PM,"No Helmet, No Safety Vest"
09-09-2026,08:31:03 PM,"No Helmet, No Safety Vest"
10-09-2026,10:12:14 PM,No Helmet
10-09-2026,10:29:26 PM,No Helmet
10-09-2026,10:29:36 PM,No Helmet
12-09-2026,12:16:35 AM,No Safety Vest
